t,ms,Œo‰ßŽžŠÔ(ms),1‰ñ‚ ‚½‚è‚ÌŒo‰ßŽžŠÔ(ms)
10,10,1613,16.1
11,11,1565,15.7
12,12,1584,15.8
13,13,1646,16.5
14,14,1563,15.6
15,15,1558,15.6
16,16,2498,25.0
17,17,3122,31.2
18,18,3121,31.2
19,19,3129,31.3
20,20,3128,31.3
21,21,3118,31.2
22,22,3120,31.2
23,23,3124,31.2
24,24,3133,31.3
25,25,3126,31.3
26,26,3122,31.2
27,27,3123,31.2
28,28,3146,31.5
29,29,3121,31.2
30,30,3133,31.3
31,31,3132,31.3
32,32,4212,42.1
33,33,4685,46.9
34,34,4692,46.9
35,35,4684,46.8
36,36,4698,47.0
37,37,4706,47.1
38,38,4696,47.0
39,39,4690,46.9
40,40,4688,46.9
41,41,4691,46.9
42,42,4708,47.1
43,43,4712,47.1
44,44,4735,47.4
45,45,4686,46.9
46,46,4711,47.1
47,47,4983,49.8
48,48,6260,62.6
49,49,6283,62.8
50,50,6249,62.5
51,51,6251,62.5
52,52,6252,62.5
53,53,6244,62.4
54,54,6244,62.4
55,55,6261,62.6
56,56,6256,62.6
57,57,6247,62.5
58,58,6248,62.5
59,59,6258,62.6
60,60,6244,62.4
